City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
255,phu kradueng,16.8843,101.8847,30.92,60,100,1.04,TH,1715403943
256,andergrove,-21.0833,149.1833,27.49,72,8,5.74,AU,1715403943
257,usogorsk,63.4106,48.6872,-2.41,87,57,3.29,RU,1715403943
258,nagqu,31.5,92.0,5.93,7,20,5.08,CN,1715403918
259,sulya,12.5667,75.3833,35.19,46,100,1.37,IN,1715403889
260,deming,32.2687,-107.7586,20.94,11,0,4.12,US,1715403855
261,sur,22.5667,59.5289,30.94,57,0,4.45,OM,1715403943
262,port macquarie,-31.4333,152.9167,17.16,85,100,0.77,AU,1715403653
263,tadine,-21.55,167.8833,22.83,67,79,6.87,NC,1715403943
264,mossel bay,-34.1831,22.146,11.96,75,45,3.85,ZA,1715403944
265,puerto ayora,-0.7393,-90.3518,23.08,95,87,1.59,EC,1715403944
266,tolanaro,-25.0319,46.9987,23.04,83,20,5.14,MG,1715403944
267,saipan,15.1355,145.701,31.39,66,20,8.23,MP,1715403923
268,asekeyevo,53.5742,52.7972,8.71,50,81,8.49,RU,1715403944
269,srandakan,-7.9386,110.2506,28.61,76,35,6.72,ID,1715403944
270,humberto de campos,-2.5983,-43.4611,23.74,97,70,0.61,BR,1715403811
271,gadzhiyevo,69.2551,33.3362,0.85,83,100,7.19,RU,1715403944
272,queenstown,-31.8976,26.8753,7.66,76,0,0.8,ZA,1715403945
273,akjoujt,19.6969,-14.4164,30.09,14,100,5.28,MR,1715403945
274,keelung,25.1283,121.7419,30.94,70,100,3.72,TW,1715403711
275,mbanza-ngungu,-5.25,14.8667,21.15,98,99,1.27,CD,1715403945
276,oranjemund,-28.55,16.4333,13.57,89,0,3.45,NA,1715403945
277,timimoun,29.2639,0.231,22.21,16,0,5.66,DZ,1715403945
278,moyynkum,44.2914,72.9469,18.82,70,100,4.97,KZ,1715403945
279,pizzo,38.7384,16.1658,16.3,94,75,0.51,IT,1715403945
280,la punta,-33.1837,-66.3127,7.19,64,39,4.86,AR,1715403945
281,nadym,65.5333,72.5167,-1.69,85,13,3.29,RU,1715403946
282,antalaha,-14.9003,50.2788,25.15,73,90,4.03,MG,1715403720
283,carnarvon,-24.8667,113.6333,29.82,33,0,2.26,AU,1715403946
284,rosenberg,49.0748,19.3075,13.72,78,33,0.84,SK,1715403690
285,saudarkrokur,65.7461,-19.6394,7.77,87,100,5.85,IS,1715403661
286,santos dumont,-21.4567,-43.5525,16.02,94,35,0.74,BR,1715403797
287,talnakh,69.4865,88.3972,-4.89,75,47,1.13,RU,1715403946
288,nar'yan-mar,67.6713,53.087,-3.27,88,43,3.13,RU,1715403946
289,guanica,17.9716,-66.908,26.88,72,2,3.2,PR,1715403946
290,newman,37.3138,-121.0208,22.99,58,0,1.79,US,1715403946
291,uturoa,-16.7333,-151.4333,28.01,78,3,3.75,PF,1715403947
292,coruripe,-10.1256,-36.1756,23.79,89,3,2.12,BR,1715403947
293,bakanas,44.8081,76.2772,16.32,78,100,6.51,KZ,1715403947
294,caleta olivia,-46.4393,-67.5281,5.52,67,86,3.37,AR,1715403947
295,new norfolk,-42.7826,147.0587,15.51,57,77,1.05,AU,1715403947
296,miracema do tocantins,-9.5618,-48.3967,25.38,65,96,1.19,BR,1715403947
297,zarghun shahr,32.8473,68.4457,19.75,25,4,5.62,AF,1715403947
298,pyinmana,19.7333,96.2167,38.5,29,0,3.37,MM,1715403875
299,lata,40.1629,-8.3327,13.84,93,0,0.25,PT,1715403947
300,nuevitas,21.5453,-77.2644,24.86,85,100,2.6,CU,1715403948
301,kutulik,53.3508,102.7839,20.07,25,51,3.06,RU,1715403948
302,dhari,21.3333,71.0167,32.08,39,0,1.3,IN,1715403948
303,labuan,5.2767,115.2417,32.2,74,20,2.24,MY,1715403948
304,talpa de allende,20.3833,-104.8167,20.77,34,20,2.46,MX,1715403948
305,okha,53.5739,142.9478,3.47,70,29,6.26,RU,1715403904
306,st. john's,47.5649,-52.7093,1.2,96,100,5.81,CA,1715403948
307,loen,7.7601,168.2307,28.47,76,100,5.28,MH,1715403948
308,ancud,-41.8697,-73.8203,7.1,90,88,3.66,CL,1715403948
309,bol'sherech'ye,56.0925,74.6272,11.37,32,36,5.17,RU,1715403949
310,sitka,57.0531,-135.33,8.94,61,0,3.09,US,1715403949
311,ambovombe,-25.1667,46.0833,21.61,68,0,3.43,MG,1715403949
312,albertina,-22.2008,-46.6158,16.35,78,22,2.14,BR,1715403671
313,nha trang,12.25,109.1833,32.0,61,57,3.82,VN,1715403933
314,barra do corda,-5.5,-45.25,23.48,84,91,0.48,BR,1715403840
315,ubari,26.5921,12.7805,17.39,45,12,3.21,LY,1715403949
316,pasuquin,18.3328,120.6177,32.97,75,20,4.12,PH,1715403949
